ICO_Name,Enter_CMC,Max_CMC,Min_CMC,Ian_ICO_Grade,Largest_Bonus,ICO_Price,Number_of_ICO_Tokens,Total_Supply_Ratio,ICO_Market_Cap,Prototype,Team,Advisors,Idea,Community,Security,Type,Audience
Genaro,0.447,1.27,0.284,0.78,,0.15,315000000,0.45,20392828,Yes,3,2,2,2851,No,App,Storage
BitClave,0.110866,0.039719,0.324363,0.75,1.00,0.1,1000000000,0.50,25547000,Yes,3,2,1,8321,No,Infrastructure,Ecommerce
5 Miles,0.368,0.601,0.124,0.62,,0.0524,1000000000,0.10,107890571,Yes,3,0,2,791,No,Infrastructure,Market Place
Storm Token,0.016,0.244,0.016,0.76,1.00,0.0113,3375749921,0.65,50000000,Yes,3,4,2,4101,No,App,Tasks
Universa,,,,0.80,,0.01,2900000000,0.66,29000000,Yes,2,1,3,6627,No,Blockchain,Developers
Vezt,1.57,4.16,0.188,0.63,1.50,0.5,62500000,0.50,1380644,No,3,2,3,1462,No,App,Musicians
Blockstack,,,,0.77,0.00,0.12,880000000,0.57,105600000,Yes,5,4,3,4844,No,Infrastructure,Internet
Gifto,0.285,0.992,0.164,0.52,,0.1,300000000,0.30,52690744,No,3,2,2,7943,No,App,Influencers
Deep Brain,0.075,0.639,0.055,0.74,,0.0158,1500000000,0.15,67420977,Yes,3,2,2,3350,No,Infrastructure,Developers
Bread,1.55,3.336,0.597,0.87,0.20,0.78,105500000,0.66,32000000,Yes,3,2,2,6126,No,App,Cryptocurrency
Nebulas,4.39,16.29,1.55,0.90,0.15,2,40000000,0.40,60000000,Yes,3,2,3,1790,No,Blockchain,Developers
Commerce Block,,,,0.79,0.60,0.02205366655,400000000,0.40,8821467,Yes,3,2,2,1262,No,Infrastructure,Commerce
indaHash,0.361,0.631,0.102,0.76,0.30,0.21,320000000,0.80,75523400,Yes,3,2,2,11137,No,App,Influencers
Qlink,0.3355,1.27,0.124,0.78,0.30,0.1,400000000,0.40,40097770,Yes,3,2,2,7028,No,Infrastructure,Telecom
NAGA,1.54,4.24,0.707,0.56,,1,220000000,0.55,220000000,Yes,3,2,1,4504,No,App,Exchange
Bounty0x,0.0582,0.928,0.0582,0.63,0.20,0.0165,91000000,0.18,1750000,Yes,1,1,2,1918,No,App,Bounty
HDAC,,,,0.66,,0.81,840000000,0.07,150000000,Yes,3,2,2,1346,No,Infrastructure,IoT
STK Token,0.314,0.314,0.128,0.73,,0.1,275000000,0.55,17000000,Yes,3,1,2,3273,No,Currency,Retail
Telcoin,0.0046,0.01169,0.002352,0.79,0.50,0.0013,25000000000,0.25,25000000,Yes,3,2,2,5590,No,Currency,Remittance
Theta,0.1539,0.309,0.098,0.53,0.20,0.12,300000000,0.40,20000000,No,3,2,2,3284,No,Infrastructure,Streaming
BitDegree,0.345,0.575,0.077,0.66,,0.0719,336600000,0.51,22657020,Yes,1,2,2,11165,No,App,Students
SingularityNET,0.539,1.85,0.291,0.67,0.35,0.1,500000000,0.50,36000000,Yes,2,2,2,1628,No,,AI
Zilla,0.076,0.493,0.076,0.78,,0.0013,60000000,0.75,5700000,Yes,2,2,2,2861,No,App,
PROPS Project,,,,0.81,0.35,0.12,200000000,0.20,25000000,Yes,3,3,2,8474,No,Infrastructure,Streaming
Pareto Network,0.049,0.073,0.023,0.79,0.40,0.0607,320000000,0.64,12000000,Yes,3,2,2,1267,No,App,Finance
Jibrel Network,0.42,0.609,0.337,0.72,,0.25,140000000,0.70,35000000,Yes,2,2,1,1654,No,App,Banking
Self Key,0.07,0.09,0.0124,0.69,0.50,0.015,1980000000,0.33,21780000,Yes,1,2,3,10019,No,App,Identity
Matrix,1.09,1.36,0.386,0.64,,0.36,130000000,0.13,46800000,No,3,2,3,5871,No,Blockchain,Developers
Bloom,2.15,2.19,0.572,0.64,,1.16,75000000,0.50,50000000,No,3,2,3,6236,No,Infrastructure,Credit
Linker,,,,0.66,,6.79710600000,20000000,0.40,135942120,Yes,3,1,2,666,No,Infrastructure,Exchange
Zen Protocol,10.75,65.56,3.49,0.69,,3.86,12000000,0.60,60161440,Yes,1,2,2,1395,No,Infrastructure,
Trinity,0.23,0.41,0.137,0.78,0.25,0.06,330000000,0.33,20000000,Yes,2,2,3,5262,No,Infrastructure,
Bluzelle,0.421592,0.421592,0.913922,0.84,0.30,0.12,165000000,0.33,19500000,Yes,3,2,2,23177,No,Infrastructure,Developers
Fortuna,0.214,0.214,0.058,0.76,,0.08,400000000,0.40,32000000,Yes,3,0,2,10992,No,Blockchain,Traders
Pundix,3.81,4.68,0.977,0.78,0.30,2.13,116608275000,0.67,35000000,Yes,2,2,3,10648,No,App,Mainstream
